model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.8871463142218913, 0.9001889851134819, 0.8932887572935324, 0.8967255972322609, 0.12357770055338285, 0.9878906249999999, 0.9884876153814365, 0.9876181627187128, 0.9880526977779421, 0.07634879758448473
5_128, 0.8961978778853313, 0.9043902078284168, 0.9014092634875893, 0.9028972752438474, 0.1373477813434785, 0.9821242559523808, 0.982833173305921, 0.9820921402838627, 0.9824625170618607, 0.09960431202004354
5_256, 0.8371649292628444, 0.862043895776462, 0.8451744991549217, 0.8535258523754504, 0.1655734374755834, 0.9771949404761904, 0.9784972065186294, 0.9768122416264485, 0.9776539980732116, 0.12166863846470646
6_64, 0.9334216101694915, 0.9353868776465198, 0.936804654054446, 0.9360952290224104, 0.10693749737778499, 0.9811653498871332, 0.9814396441143791, 0.9816620034306497, 0.9815508111792629, 0.08269410062598119
6_128, 0.9419844632768362, 0.9422084203104457, 0.9455494102296236, 0.9438759587961005, 0.11714860589406585, 0.9832110609480813, 0.9835221406310998, 0.9834945761203026, 0.9835083581825655, 0.08297193365100074
6_256, 0.9267302259887006, 0.9283010367098606, 0.9310992193472432, 0.9296980225577026, 0.1291773471113105, 0.9823645598194131, 0.9825517656708134, 0.9827294918388232, 0.9826406207186681, 0.08790467338506175
7_64, 0.927265019379845, 0.9305329105162208, 0.9309857664932658, 0.93075928342108, 0.10797944437268428, 0.9817102713178295, 0.9821255918011699, 0.9815595156157471, 0.981842472116393, 0.07631002415184567
7_128, 0.9542908187984496, 0.9539276369574914, 0.9569130409661772, 0.9554180068372365, 0.09837551233936245, 0.9832848837209303, 0.9837596492151083, 0.983171115349272, 0.9834652942333078, 0.07738283275565233
7_256, 0.8870518410852714, 0.8991412707682814, 0.8916592932634639, 0.8953846521382339, 0.1258996140248821, 0.9858750745378653, 0.9862408542376973, 0.9856508090925254, 0.9859457433861051, 0.0860110597139903
8_64, 0.9176199389905711, 0.9235398440602033, 0.92138414806401, 0.9224607366537929, 0.10424353662543556, 0.9888727121464226, 0.9890070340262497, 0.9890681692773677, 0.9890376007070724, 0.05894716038754498
8_128, 0.9615354617304492, 0.9616543092479123, 0.9635875583593605, 0.9626199631588073, 0.08404887870853664, 0.9905366056572379, 0.9906015024694235, 0.990691991431762, 0.9906467448842021, 0.05029977897736872
8_256, 0.9471843801996672, 0.9474461032910497, 0.9503290688706433, 0.9488853962823247, 0.11852302276777311, 0.9838290349417638, 0.9841784744974864, 0.9840657914092623, 0.9841221297277893, 0.07583336979104284
9_64, 0.9693188023298144, 0.9690739082346286, 0.9709838829066758, 0.9700279553916367, 0.07922604311676984, 0.9913573508005823, 0.9915188033413677, 0.9912998629025487, 0.991409321034389, 0.04747783257104077
9_128, 0.9647797597378959, 0.9643556703531333, 0.9665940884205347, 0.9654735819643037, 0.07906469271691535, 0.9916757641921398, 0.9919344641764446, 0.9915439566449367, 0.9917391719690998, 0.0449873736538969
9_256, 0.8579586821987623, 0.8783701891430438, 0.864028462005772, 0.8711403020159516, 0.14293042239931375, 0.9881732168850073, 0.9883328051613182, 0.9882171612455785, 0.9882749798204032, 0.08327935520407719
10_64, 0.9643109027547295, 0.9640540819264329, 0.9663510381929832, 0.9652011935050829, 0.07637771040810426, 0.9927055702917772, 0.993023155486012, 0.9924548375395563, 0.9927389151758745, 0.03949513953779416
10_128, 0.9657179997787365, 0.9651800463792521, 0.9676371871361836, 0.9664070549078453, 0.0790906303457593, 0.9922082228116711, 0.9924567802686427, 0.9920818458355518, 0.9922692776343364, 0.04558214263444574
10_256, 0.9068826750746763, 0.9135714878639535, 0.9116187628744514, 0.9125940807836085, 0.12427042016881301, 0.9899701591511937, 0.9902650013549584, 0.9896989303647757, 0.9899818849401189, 0.0666881001663125
